id,day,weight,gender,adrenal,liver,heart,appendix,femstate,gonfat,bat,sulcer,kmethod,tail,blength,place,intestine,year,ADWBWind,gonind
rat541,196,315,1,119.5,23.66,1.46,6.66,2,0.24,0.198,1,3,16,21,3,171,8,0.379365079365079,0.215111379616945
rat542,269,264.6,1,117,23.7,1.1,4.6,3,0.3,0.226,1,1,17,20.5,3,165,6,0.442176870748299,0.262364264467491
rat543,127,384,1,211.5,23.7,1.36,3.78,3,4.57,0.32,1,1,17.4,22.5,3,163,7,0.55078125,1.71739505393919
rat544,217,383,1,130,23.87,1.49,5.86,2,0.76,0.47,1,1,19,21.5,3,197,8,0.339425587467363,0.56531380905006
rat545,162,284,1,141.5,23.92,1.13,4.21,2,1.74,0.266,1,1,17,21.5,3,155,8,0.498239436619718,1.00795792039998
rat546,169,340,1,160,23.98,1.4,4.67,3,1.12,0.522,1,1,16.5,21.5,3,183,7,0.470588235294118,0.751416088683921
rat547,262,326,1,130,24.17,1.14,2.43,3,2.3,0.398,1,1,16.7,21.5,3,155,8,0.398773006134969,1.19392246847243
rat548,276,455,2,112,24.61,1.74,5.23, ,3.08,0.463,1,1,18.8,24.5,3,160,7,0.246153846153846,1.40609698841607
rat549,244,325,1,108.5,24.69,1.14,4.4,3,1.29,0.25,1,1,17.1,21,3,168,8,0.333846153846154,0.828551817566148
rat550,64,335,1,147,24.7,1.29,6.7,4,2.25,0.444,1,1,17.6,23,3,182,7,0.438805970149254,1.17865499634165
rat551,276,370,1,177,24.73,1.23,12.91,2,0,0.188,1,1,18.3,23.5,3,198,7,0.478378378378378,0
rat552,230,356,1,166,25.22,1.47,7.01,2,4.4,0.569,1,1,18.5,23.5,3,193,8,0.466292134831461,1.68639895357023
rat553,135,340,1,148.5,25.35,1.29,5.48,2,0.88,0.356,1,1,16,22,3,168,8,0.436764705882353,0.631271776841858
rat554,162,316,1,105,25.57,1.32,5.49,2,0,0.393,1,1,15.4,22,3,190,8,0.332278481012658,0
rat555,148,308,1,96,25.63,1.2,7.56,3,0.6,0.147,1,1,17,21,3,172,8,0.311688311688312,0.470003629245736
rat556,162,383,1,156.5,25.83,1.64,5.8,3,2.1,0.101,2,1,16.5,23,3,186,8,0.408616187989556,1.1314021114911
rat557,94,348,1,193,25.99,1.41,3.84,1,6.91,0.522,2,1,16.5,21.5,3,172,7,0.554597701149425,2.06812778177956
rat558,166,373,1,144,26,1.3,1.1,2,3.7,0.26,1,1,19,24.5,1, ,3,0.386058981233244,1.54756250871601
rat559,94,377,1,181.5,26.42,1.73,5.43,1,4.12,0.5,2,1,17,21.5,3,167,7,0.481432360742706,1.63315443905142
rat560,162,444,1,118,26.44,1.93,6.9,2,0.38,0.376,1,1,19.5,24.5,3,178,8,0.265765765765766,0.322083499169113
rat561,169,367,1,154,26.56,1.41,5.61,2,0.87,0.5,1,1,14,21.5,3,183,7,0.419618528610354,0.625938430866495
rat562,127,404,1,162.5,26.89,1.74,2.89,3,3.75,0.613,1,1,19,24,3,180,7,0.402227722772277,1.55814461804655
rat563,135,388,1,183,27.37,1.77,7.66,3,4.52,0.613,2,1,18,21,3,186,8,0.471649484536082,1.708377860289
rat564,169,345,1,155,27.44,1.52,5.64,2,0,0.47,1,1,18.1,22,3,198,7,0.449275362318841,0
